State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,4369862,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5033094,5049196,5076181,5117673,5157699
Alaska,619500,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,733017,734420,734442,736510,740133
Arizona,4778332,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7187135,7274078,7377566,7473027,7582384
Arkansas,2551373,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3014546,3026870,3047704,3069463,3088354
California,33145121,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39521958,39142565,39142414,39198693,39431263
Colorado,4056133,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5787129,5814036,5850935,5901339,5957493
Connecticut,3282031,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3579918,3606607,3617925,3643023,3675069
Delaware,753538,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,991928,1005062,1020625,1036423,1051917
District of Columbia,519000,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,670917,669256,676725,687324,702250
Florida,15111244,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21592035,21831949,22379312,22904868,23372215
Georgia,7788240,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10732888,10792060,10931805,11064432,11180878
Hawaii,1185497,1211566,1218305,1228069,1239298,1252782,1266117,1275599,1276832,1287481,1295178,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1451252,1447029,1440359,1441387,1446146
Idaho,1251700,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1849415,1904848,1944299,1971122,2001619
Illinois,12128370,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12799088,12700641,12621821,12642259,12710158
Indiana,5942901,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6790497,6815907,6844545,6880131,6924275
Iowa,2869413,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3191141,3198613,3202820,3218414,3241488
Kansas,2654052,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2938172,2938338,2937324,2951500,2970606
Kentucky,3960825,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4508318,4507583,4519233,4550595,4588372
Louisiana,4372035,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4652301,4627971,4593687,4588071,4597740
Maine,1253040,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1364571,1378931,1390922,1399646,1405012
Maryland,5171634,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177935,6179403,6192440,6217062,6263220
Massachusetts,6175169,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,6994598,7000474,7022468,7066568,7136171
Michigan,9863775,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10072703,10041351,10050877,10083356,10140459
Minnesota,4775508,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5710735,5718660,5721621,5753048,5793151
Mississippi,2768619,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2958536,2947209,2941939,2943172,2943045
