State,Year,Month,Deaths,COVID_deaths,Source_1,daysmonth,Population,crude_rate,daily crude rate,Obs_Death_FARR,ADJ_add,Exp_death_Farr1,Exp_death_Farr,Upper_exp_death_Farr,Excess_death_Farr,Significant_Excess_death_Farr,Exp_daily_crude_rate_Farr,Lower_Exp_daily_crude_rate_Farr,Upper_Exp_daily_crude_rate_Farr,Exp_crude_rate_FARR,Excess crude rate_FARR,Lower_crude rate_Frr,Upper Crude rte Farr,Sig_Excess_crude rate_Farr,Firstof Month,STATEEstimateDaily Crude Rate,STATEEstimateLower Prediction Interval for Daily Crude Rate,STATEEstimateUpper Prediction Interval for Daily Crude Rate,Exp_daily_crude_rate_ETS,Lower_exp_daily_crude_rate_ETS,Upper_exp_daily_crude_rate_ETS,Exp_crude_rate_ETS,Lower_exp_crude rate_ETS,Upper_ExpCrude rate_ETS,Excess crude rate_ETS,Sig_excess_crude_rate_ETS,Exp_deaths_ETS,Excess death_ETS,Sig_excess_death_ETS,MAPE_19_FARR,MAPE_19_ETS,hold_out19,hold_out20
Alabama,2015,1,4398,0,2015 to 2023,31,4854803,90.59069956,2.922280631, , , ,   ,   ,   , ,1/2/1900, , ,90.59069956,0, , , ,42005,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.922280631,2.922280631,2.922280631,90.59069956,90.59069956,90.59069956,0,0,4398,0,0,,,0,0
Alabama,2015,2,4351,0,2015 to 2023,28,4854803,89.62258613,3.200806647, , , ,   ,   ,   , ,1/3/1900, , ,89.62258613,0, , , ,42036,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,3.200806647,3.200806647,3.200806647,89.62258613,89.62258613,89.62258613,0,0,4351,-9.09495E-13,0,,,0,0
Alabama,2015,3,5254,0,2015 to 2023,31,4854803,108.2227229,3.491055579, , , ,   ,   ,   , ,1/3/1900, , ,108.2227229,0, , , ,42064,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,3.491055579,3.491055579,3.491055579,108.2227229,108.2227229,108.2227229,0,0,5254,0,0,,,0,0
Alabama,2015,4,3864,0,2015 to 2023,30,4854803,79.59128311,2.65304277, , , ,   ,   ,   , ,1/2/1900, , ,79.59128311,0, , , ,42095,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.65304277,2.65304277,2.65304277,79.59128311,79.59128311,79.59128311,0,0,3864,0,0,,,0,0
Alabama,2015,5,4567,0,2015 to 2023,31,4854803,94.07178829,3.034573816, , , ,   ,   ,   , ,1/3/1900, , ,94.07178829,0, , , ,42125,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,3.034573816,3.034573816,3.034573816,94.07178829,94.07178829,94.07178829,0,0,4567,-9.09495E-13,0,,,0,0
Alabama,2015,6,3648,0,2015 to 2023,30,4854803,75.14208095,2.504736032, , , ,   ,   ,   , ,1/2/1900, , ,75.14208095,0, , , ,42156,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.504736032,2.504736032,2.504736032,75.14208095,75.14208095,75.14208095,0,0,3648,0,0,,,0,0
Alabama,2015,7,3671,0,2015 to 2023,31,4854803,75.61583858,2.439220599, , , ,   ,   ,   , ,1/2/1900, , ,75.61583858,0, , , ,42186,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.439220599,2.439220599,2.439220599,75.61583858,75.61583858,75.61583858,0,0,3671,0,0,,,0,0
Alabama,2015,8,4591,0,2015 to 2023,31,4854803,94.56614408,3.050520777, , , ,   ,   ,   , ,1/3/1900, , ,94.56614408,0, , , ,42217,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,3.050520777,3.050520777,3.050520777,94.56614408,94.56614408,94.56614408,0,0,4591,0,0,,,0,0
Alabama,2015,9,3719,0,2015 to 2023,30,4854803,76.60455017,2.553485006, , , ,   ,   ,   , ,1/2/1900, , ,76.60455017,0, , , ,42248,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.553485006,2.553485006,2.553485006,76.60455017,76.60455017,76.60455017,0,0,3719,0,0,,,0,0
Alabama,2015,10,3757,0,2015 to 2023,31,4854803,77.38728018,2.496363877, , , ,   ,   ,   , ,1/2/1900, , ,77.38728018,0, , , ,42278,AlabamaEstimateDaily Crude Rate,AlabamaEstimateLower Prediction Interval for Daily Crude Rate,AlabamaEstimateUpper Prediction Interval for Daily Crude Rate,2.496363877,2.496363877,2.496363877,77.38728018,77.38728018,77.38728018,0,0,3757,-4.54747E-13,0,,,0,0
